restaurant_id,restaurant_name,tier,hour_of_day,day_of_week,order_time,true_kpt_minutes,hidden_load,base_kpt_minutes,zomato_concurrent_orders,acceptance_latency_seconds,for_delay_seconds,is_rp_for,honest_merchant,raw_for_kpt,corrected_for_kpt,pos_kpt,kli_adjusted_kpt,kitchen_load_index,local_foot_traffic_index,competitor_platform_orders,naive_kpt_estimate,actual_rider_wait_minutes,naive_kpt_error,concurrent_norm,latency_norm,foot_traffic_norm,competitor_norm
R000,Spice Junction,T3,8,2,2025-01-01 08:30:35,17.737,0.204,18,0,15.63,36.0,False,False,29.961403466666663,29.961403466666663,19.8612614,27.506,33.61,92.26,1,29.361,0.0,11.624,0.0,0.19744573160390944,0.9226000000000001,0.06666666666666667
R000,Spice Junction,T3,10,2,2025-01-01 10:15:56,22.278,2.437,18,0,21.83,87.0,False,False,27.54728665,27.54728665,24.579987666666668,23.472,20.41,43.92,0,26.097,0.0,3.819,0.0,0.2892720437233444,0.43920000000000003,0.0
R000,Spice Junction,T3,11,2,2025-01-01 11:55:38,25.261,4.991,18,0,35.36,69.0,False,False,38.20074063333333,38.20074063333333,25.56470768333333,34.167,28.88,52.13,1,37.051,0.0,11.79,0.0,0.48966075388075664,0.5213,0.06666666666666667
R000,Spice Junction,T3,20,2,2025-01-01 20:48:34,26.27,5.586,18,0,47.84,47.915845,True,False,25.648214199999998,24.214880866666665,24.86494935,24.682,53.86,100.0,7,24.85,1.42,1.42,0.0,0.6744982337598775,1.0,0.4666666666666667
R000,Spice Junction,T3,22,2,2025-01-01 22:05:46,25.13,4.239,18,0,39.87,77.0,False,False,30.239405533333336,30.239405533333336,23.428744283333334,28.384,37.73,62.73,5,28.956,0.0,3.826,0.0,0.5564569905998941,0.6273,0.3333333333333333
R000,Spice Junction,T3,22,2,2025-01-01 22:59:34,29.716,8.085,18,0,49.67,236.02234,True,False,32.6012065,31.167873166666666,29.691959033333333,29.896,41.84,54.32,8,28.668,1.048,1.048,0.0,0.701601806530614,0.5432,0.5333333333333333
R000,Spice Junction,T3,0,3,2025-01-02 00:45:40,21.195,2.205,18,0,28.84,22.0,False,False,27.338710916666667,27.338710916666667,21.158455633333332,22.511,14.68,16.18,0,26.972,0.0,5.777,0.0,0.3930950192003185,0.1618,0.0
R000,Spice Junction,T3,10,3,2025-01-02 10:04:21,17.202,0.0,18,0,18.55,17.0,False,False,27.914542200000003,27.914542200000003,19.370440366666667,23.692,19.75,45.78,0,27.631,0.0,10.429,0.0,0.24069296247306268,0.4578,0.0
R000,Spice Junction,T3,10,3,2025-01-02 10:57:02,20.211,1.157,18,0,28.46,57.0,False,False,29.55154963333333,29.55154963333333,18.6904584,25.785,24.51,42.73,2,28.602,0.0,8.391,0.0,0.38746695490912736,0.42729999999999996,0.13333333333333333
R000,Spice Junction,T3,13,3,2025-01-02 13:33:28,29.072,6.351,18,0,44.12,30.0,False,False,30.80281375,30.80281375,26.356344200000002,30.57,48.49,100.0,3,30.303,0.0,1.231,0.0,0.6194024464882164,1.0,0.2
R000,Spice Junction,T3,13,3,2025-01-02 13:42:41,26.388,5.576,18,1,48.09,62.0,False,False,30.906954166666665,30.906954166666665,25.895453449999998,31.519,53.96,100.0,5,29.874,0.0,3.486,0.06666666666666667,0.6782009076356612,1.0,0.3333333333333333
R000,Spice Junction,T3,17,3,2025-01-02 17:14:37,16.863,0.0,18,0,19.91,43.0,False,False,32.84656351666667,32.84656351666667,13.60362945,28.312,22.39,52.9,0,32.13,0.0,15.267,0.0,0.26083550835732583,0.529,0.0
R000,Spice Junction,T3,9,4,2025-01-03 09:08:46,24.138,3.846,18,0,35.43,88.0,False,False,32.270640199999995,32.270640199999995,26.634388783333335,29.724,34.22,73.16,0,30.804,0.0,6.666,0.0,0.49069750256597605,0.7315999999999999,0.0
R000,Spice Junction,T3,15,4,2025-01-03 15:17:42,18.189,0.396,18,0,28.55,77.0,False,False,33.416346600000004,33.416346600000004,20.041586666666667,29.335,25.57,52.82,0,32.133,0.0,13.944,0.0,0.38879991750440945,0.5282,0.0
R000,Spice Junction,T3,16,4,2025-01-03 16:15:50,22.493,3.073,18,0,31.49,75.0,False,False,31.421370533333334,31.421370533333334,20.197229633333333,27.409,24.46,42.18,1,30.171,0.0,7.678,0.0,0.4323433622836254,0.4218,0.06666666666666667
R000,Spice Junction,T3,8,5,2025-01-04 08:11:17,29.829,7.469,18,0,49.7,331.20863,True,False,30.624130666666666,29.190797333333332,27.9462739,29.563,52.55,100.0,5,25.104,4.725,4.725,0.0,0.7020461273957079,1.0,0.3333333333333333
R000,Spice Junction,T3,9,5,2025-01-04 09:06:42,22.393,3.112,18,0,39.27,70.0,False,False,31.102787066666668,31.102787066666668,28.564830683333334,29.768,41.42,85.77,2,29.936,0.0,7.543,0.0,0.5475705732980133,0.8576999999999999,0.13333333333333333
R000,Spice Junction,T3,10,5,2025-01-04 10:12:34,21.157,2.292,18,0,33.56,72.0,False,False,27.890548133333333,27.890548133333333,18.338451683333336,25.502,32.87,64.31,2,26.691,0.0,5.534,0.0,0.4630015019751142,0.6431,0.13333333333333333
R000,Spice Junction,T3,10,5,2025-01-04 10:59:04,19.619,1.725,18,0,24.64,71.0,False,False,31.654185383333335,31.654185383333335,21.50549446666667,28.223,28.32,63.49,1,30.471,0.0,10.852,0.0,0.33089009808715286,0.6349,0.06666666666666667
R000,Spice Junction,T3,12,5,2025-01-04 12:26:29,23.457,3.12,18,0,28.14,21.0,False,False,32.218492033333334,32.218492033333334,25.98779143333333,30.86,41.57,100.0,2,31.868,0.0,8.411,0.0,0.3827275323481243,1.0,0.13333333333333333
R000,Spice Junction,T3,13,5,2025-01-04 13:21:51,24.611,4.498,18,0,44.33,28.0,False,False,31.011610066666666,31.011610066666666,23.122334983333335,30.478,46.56,100.0,1,30.545,0.0,5.934,0.0,0.6225126925438746,1.0,0.06666666666666667
R000,Spice Junction,T3,18,5,2025-01-04 18:41:06,23.001,3.695,18,0,40.03,22.0,True,False,25.944529433333333,24.5111961,25.879528816666667,23.895,44.97,100.0,1,25.578,0.0,2.577,0.0,0.5588267018803956,1.0,0.06666666666666667
R000,Spice Junction,T3,20,5,2025-01-04 20:54:35,24.005,4.148,18,0,37.05,27.0,False,False,30.8452731,30.8452731,24.1410419,30.363,46.87,100.0,4,30.395,0.0,6.39,0.0,0.5146908292810543,1.0,0.26666666666666666
R000,Spice Junction,T3,18,6,2025-01-05 18:34:53,17.515,0.382,18,0,25.89,16.0,False,False,29.015068816666666,29.015068816666666,22.287334166666668,27.547,39.88,97.16,2,28.748,0.0,11.233,0.0,0.34940346746607126,0.9716,0.13333333333333333
R000,Spice Junction,T3,22,6,2025-01-05 22:59:48,28.815,7.81,18,0,52.53,45.0,True,False,30.1311228,28.697789466666666,28.54345485,28.807,50.76,77.19,9,29.381,0.0,0.566,0.0,0.7439603956695792,0.7719,0.6
R000,Spice Junction,T3,11,0,2025-01-06 11:44:46,27.984,6.778,18,0,51.26,86.0,True,False,33.461922066666666,32.028588733333336,31.876650299999998,30.51,40.52,54.65,6,32.029,0.0,4.045,0.0,0.725150812380598,0.5465,0.4
R000,Spice Junction,T3,13,0,2025-01-06 13:30:13,26.95,6.015,18,0,45.22,66.0,True,False,32.190506533333334,30.7571732,29.94795315,30.239,46.63,99.11,1,31.091,0.0,4.141,0.0,0.6356942115416645,0.9911,0.06666666666666667
R000,Spice Junction,T3,21,0,2025-01-06 21:10:24,27.916,6.33,18,0,42.65,15.0,False,False,28.77090965,28.77090965,23.100465816666667,28.403,47.44,95.0,4,28.521,0.0,0.605,0.0,0.5976307240986084,0.95,0.26666666666666666
R000,Spice Junction,T3,23,0,2025-01-06 23:16:59,21.608,2.16,18,0,36.44,73.0,False,False,28.999623550000003,28.999623550000003,19.647182083333334,24.97,22.21,31.88,0,27.783,0.0,6.175,0.0,0.505656305024142,0.3188,0.0
R000,Spice Junction,T3,6,1,2025-01-07 06:20:03,26.477,5.687,18,0,41.56,21.0,True,False,25.770200666666664,24.33686733333333,27.8776731,21.325,25.25,29.03,2,25.42,1.057,1.057,0.0,0.5814870660001917,0.2903,0.13333333333333333
R000,Spice Junction,T3,7,1,2025-01-07 07:04:43,23.269,3.294,18,0,39.58,45.0,True,False,24.626557549999998,23.193224216666668,22.270977233333333,21.738,37.45,68.82,3,23.877,0.0,0.608,0.0,0.552161888903985,0.6881999999999999,0.2
R000,Spice Junction,T3,8,1,2025-01-07 08:32:05,19.453,1.069,18,0,26.3,38.0,False,False,35.12332565,35.12332565,21.08463075,32.63,35.8,86.38,1,34.49,0.0,15.037,0.0,0.3554758526223565,0.8637999999999999,0.06666666666666667
R000,Spice Junction,T3,9,1,2025-01-07 09:03:37,21.404,2.636,18,0,36.87,84.0,False,False,32.38345423333333,32.38345423333333,19.294790883333334,30.157,36.25,78.17,0,30.983,0.0,9.579,0.0,0.51202490409049,0.7817000000000001,0.0
