restaurant_id,restaurant_name,tier,honest_merchant,day_of_week,hour_of_day,order_time,actual_ready_time,for_button_time,rider_arrival_time,pos_ticket_cleared_time,base_kpt_minutes,true_kpt_minutes,hidden_load,rider_present_at_press,merchant_bias_offset_min,naive_kpt_estimate,acceptance_latency_seconds,zomato_concurrent_orders,local_foot_traffic_index,competitor_platform_orders,actual_rider_wait_minutes,naive_kpt_error
R000,Spice Junction,T3,False,2,8,2025-01-01 08:30:35,2025-01-01 08:48:19.220000000,2025-01-01 09:00:32.684208,2025-01-01 08:59:56.684208,2025-01-01 08:50:26.675684,18,17.737,0.204,False,12.49,29.361,15.63,0,92.26,1,0.0,11.624
R000,Spice Junction,T3,False,2,10,2025-01-01 10:15:56,2025-01-01 10:38:12.680000000,2025-01-01 10:43:28.837199,2025-01-01 10:42:01.837199,2025-01-01 10:40:30.799260,18,22.278,2.437,False,12.49,26.097,21.83,0,43.92,0,0.0,3.819
R000,Spice Junction,T3,False,2,11,2025-01-01 11:55:38,2025-01-01 12:20:53.660000000,2025-01-01 12:33:50.044438,2025-01-01 12:32:41.044438,2025-01-01 12:21:11.882461,18,25.261,4.991,False,12.49,37.051,35.36,0,52.13,1,0.0,11.79
R000,Spice Junction,T3,False,2,20,2025-01-01 20:48:34,2025-01-01 21:14:50.200000000,2025-01-01 21:14:12.892852,2025-01-01 21:13:24.977007,2025-01-01 21:13:25.896961,18,26.27,5.586,True,12.49,24.85,47.84,0,100.0,7,1.42,1.42
R000,Spice Junction,T3,False,2,22,2025-01-01 22:05:46,2025-01-01 22:30:53.800000000,2025-01-01 22:36:00.364332,2025-01-01 22:34:43.364332,2025-01-01 22:29:11.724657,18,25.13,4.239,False,12.49,28.956,39.87,0,62.73,5,0.0,3.826
R000,Spice Junction,T3,False,2,22,2025-01-01 22:59:34,2025-01-01 23:29:16.960000000,2025-01-01 23:32:10.072390,2025-01-01 23:28:14.050050,2025-01-01 23:29:15.517542,18,29.716,8.085,True,12.49,28.668,49.67,0,54.32,8,1.048,1.048
R000,Spice Junction,T3,False,3,0,2025-01-02 00:45:40,2025-01-02 01:06:51.700000000,2025-01-02 01:13:00.322655,2025-01-02 01:12:38.322655,2025-01-02 01:06:49.507338,18,21.195,2.205,False,12.49,26.972,28.84,0,16.18,0,0.0,5.777
R000,Spice Junction,T3,False,3,10,2025-01-02 10:04:21,2025-01-02 10:21:33.120000000,2025-01-02 10:32:15.872532,2025-01-02 10:31:58.872532,2025-01-02 10:23:43.226422,18,17.202,0.0,False,12.49,27.631,18.55,0,45.78,0,0.0,10.429
R000,Spice Junction,T3,False,3,10,2025-01-02 10:57:02,2025-01-02 11:17:14.660000000,2025-01-02 11:26:35.092978,2025-01-02 11:25:38.092978,2025-01-02 11:15:43.427504,18,20.211,1.157,False,12.49,28.602,28.46,0,42.73,2,0.0,8.391
R000,Spice Junction,T3,False,3,13,2025-01-02 13:33:28,2025-01-02 14:02:32.320000000,2025-01-02 14:04:16.168825,2025-01-02 14:03:46.168825,2025-01-02 13:59:49.380652,18,29.072,6.351,False,12.49,30.303,44.12,0,100.0,3,0.0,1.231
R000,Spice Junction,T3,False,3,13,2025-01-02 13:42:41,2025-01-02 14:09:04.280000000,2025-01-02 14:13:35.417250,2025-01-02 14:12:33.417250,2025-01-02 14:08:34.727207,18,26.388,5.576,False,12.49,29.874,48.09,1,100.0,5,0.0,3.486
R000,Spice Junction,T3,False,3,17,2025-01-02 17:14:37,2025-01-02 17:31:28.780000000,2025-01-02 17:47:27.793811,2025-01-02 17:46:44.793811,2025-01-02 17:28:13.217767,18,16.863,0.0,False,12.49,32.13,19.91,0,52.9,0,0.0,15.267
R000,Spice Junction,T3,False,4,9,2025-01-03 09:08:46,2025-01-03 09:32:54.280000000,2025-01-03 09:41:02.238412,2025-01-03 09:39:34.238412,2025-01-03 09:35:24.063327,18,24.138,3.846,False,12.49,30.804,35.43,0,73.16,0,0.0,6.666
R000,Spice Junction,T3,False,4,15,2025-01-03 15:17:42,2025-01-03 15:35:53.340000000,2025-01-03 15:51:06.980796,2025-01-03 15:49:49.980796,2025-01-03 15:37:44.495200,18,18.189,0.396,False,12.49,32.133,28.55,0,52.82,0,0.0,13.944
R000,Spice Junction,T3,False,4,16,2025-01-03 16:15:50,2025-01-03 16:38:19.580000000,2025-01-03 16:47:15.282232,2025-01-03 16:46:00.282232,2025-01-03 16:36:01.833778,18,22.493,3.073,False,12.49,30.171,31.49,0,42.18,1,0.0,7.678
